Museum,Catalog number,Genus,Species,Subspecies,Locale,Name,Group,BillCulmen,BillNareTip,BillDepth,BillWidth,Tarsus,Wing,Tail
Cincinnati Museum Center,B39029,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.79,7.77,3,3.09,17.2,61.5,36
Cincinnati Museum Center,B37675,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,11.04,7.7,3.06,3.31,18.19,55,34
Cincinnati Museum Center,B37676,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.13,7.66,2.95,3.21,18.22,57,35
Cincinnati Museum Center,B37376,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.66,7.68,3.39,3.53,20.94,57.5,36
Cincinnati Museum Center,B35538,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,9.01,6.63,3.15,3.48,17.9,52,33
Cincinnati Museum Center,B37674,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.44,7.25,3.18,2.96,17.55,57,35
Cincinnati Museum Center,B35539,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.69,8.54,3.22,2.87,16.26,55.5,36
Cincinnati Museum Center,B35541,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,9.56,7.13,3.64,3.54,16.43,52,32
Cincinnati Museum Center,B35543,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.29,7.48,2.82,3.22,15.76,55,38
Cincinnati Museum Center,B35540,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,9.43,7.21,3.13,3.48,15.71,53,34
Cincinnati Museum Center,B35626,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,9.92,7.76,3.26,2.93,17.34,52,38
Cincinnati Museum Center,B36301,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.69,7.21,3.06,3.45,18.15,54,34
Cincinnati Museum Center,B35836,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.08,7.28,2.91,3.58,17.95,58.5,34
Cincinnati Museum Center,B36302,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.97,7.71,2.99,3.41,16.24,53.5,33
Cincinnati Museum Center,B35837,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,9.95,7.58,3.1,3.79,17.15,58.5,29
Cincinnati Museum Center,B35838,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.92,7.97,2.78,3.24,15.86,58,35
Cincinnati Museum Center,B38163,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,11.11,8.58,3.24,3.76,16.74,59,36
Cincinnati Museum Center,B36897,Zosterops,montanus,ssp,PANAY,Z montanus ssp,montanus SOUTH,11.55,8.36,3.46,3.49,17.48,51,35
Cincinnati Museum Center,B39200,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,9.86,7.22,3.61,3.3,16.28,57,33
Cincinnati Museum Center,B39198,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.16,7.71,3.13,3.6,17.17,54.5,34
Cincinnati Museum Center,B36817,Zosterops,montanus,ssp,PANAY,Z montanus ssp,montanus SOUTH,11.08,8.03,3.03,3.72,17.41,54,37
Cincinnati Museum Center,B36895,Zosterops,montanus,ssp,PANAY,Z montanus ssp,montanus SOUTH,11.44,8.48,3.28,3.08,19.16,53,34
Cincinnati Museum Center,B36818,Zosterops,montanus,ssp,PANAY,Z montanus ssp,montanus SOUTH,11.77,8.7,3.6,3.8,16.34,55,35
Cincinnati Museum Center,B36615,Zosterops,montanus,whiteheadi,LUZON,Z montanus whiteheadi,montanus NORTH,11.28,8.25,3.16,3.43,18.47,55,37
Cincinnati Museum Center,B36616,Zosterops,montanus,whiteheadi,LUZON,Z montanus whiteheadi,montanus NORTH,10.66,7.72,2.89,3.37,17.68,56,36
Cincinnati Museum Center,B39201,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.63,7.59,3.14,3.49,18.52,56,35
Cincinnati Museum Center,B36894,Zosterops,montanus,ssp,PANAY,Z montanus ssp,montanus SOUTH,11.34,8.3,3.2,3.26,19.02,55,35
Cincinnati Museum Center,B36898,Zosterops,montanus,ssp,PANAY,Z montanus ssp,montanus SOUTH,11.3,8.09,3.16,3.22,16.7,54,36
Cincinnati Museum Center,B36896,Zosterops,montanus,ssp,PANAY,Z montanus ssp,montanus SOUTH,11.37,8.63,3.01,3.28,17.72,54,35
Cincinnati Museum Center,B37023,Zosterops,montanus,pectoralis,NEGROS,Z montanus pectoralis,montanus SOUTH,11.03,8.57,3.22,3.57,18.84,58,38
Cincinnati Museum Center,B37041,Zosterops,montanus,pectoralis,NEGROS,Z montanus pectoralis,montanus SOUTH,11.23,8.17,3.17,3.23,19.28,59,38
Cincinnati Museum Center,B37042,Zosterops,montanus,pectoralis,NEGROS,Z montanus pectoralis,montanus SOUTH,10.42,7.99,2.81,3.19,17.06,56.5,35
Cincinnati Museum Center,B37043,Zosterops,montanus,pectoralis,NEGROS,Z montanus pectoralis,montanus SOUTH,10.59,8.23,3.15,3.71,17.54,58,36
Cincinnati Museum Center,B37052,Zosterops,montanus,pectoralis,NEGROS,Z montanus pectoralis,montanus SOUTH,11.05,8.38,3.15,3.51,17.79,60,40
Cincinnati Museum Center,B37053,Zosterops,montanus,pectoralis,NEGROS,Z montanus pectoralis,montanus SOUTH,11.24,8.65,3.23,3.24,17.94,61.5,37
Cincinnati Museum Center,B37054,Zosterops,montanus,pectoralis,NEGROS,Z montanus pectoralis,montanus SOUTH,10.9,8.15,2.88,3.46,17.54,60.5,38
Cincinnati Museum Center,B37073,Zosterops,montanus,pectoralis,NEGROS,Z montanus pectoralis,montanus SOUTH,11.22,8.05,3.23,3.64,17.39,61.5,39
Cincinnati Museum Center,B36991,Zosterops,montanus,halconensis,MINDORO,Z montanus halconensis,montanus NORTH,10.76,7.81,2.74,3.4,16.74,55,35
Cincinnati Museum Center,B36979,Zosterops,montanus,halconensis,MINDORO,Z montanus halconensis,montanus NORTH,10.85,7.82,2.94,3.15,17.29,53,36
Cincinnati Museum Center,B36617,Zosterops,montanus,whiteheadi,LUZON,Z montanus whiteheadi,montanus NORTH,11.27,8.67,3.03,3.76,17.37,56,36
Cincinnati Museum Center,B36819,Zosterops,montanus,ssp,PANAY,Z montanus ssp,montanus SOUTH,11.39,8.38,3.14,3.31,17.24,56,37
Cincinnati Museum Center,B33359,Zosterops,meyeni,batanis,BATAN,Z meyeni batanis,meyeni,11.18,8.84,3.61,3.54,17.3,58,38
Cincinnati Museum Center,B33961,Zosterops,everetti,boholensis,BILIRAN,Z everetti boholensis,everetti,10.05,7.39,4.39,3.57,18.52,55,38
Cincinnati Museum Center,B35474,Zosterops,everetti,basilanicus,MINDANAO,Z everetti basilanicus,everetti,10.25,7.34,3.05,3.07,16.81,56,40
Cincinnati Museum Center,B35475,Zosterops,everetti,basilanicus,MINDANAO,Z everetti basilanicus,everetti,10.47,7.53,3.53,3.69,17.44,56,37
Cincinnati Museum Center,B35473,Zosterops,everetti,basilanicus,MINDANAO,Z everetti basilanicus,everetti,11.1,7.9,3.55,3.58,16.19,55.5,34
Cincinnati Museum Center,B35476,Zosterops,everetti,basilanicus,MINDANAO,Z everetti basilanicus,everetti,11.73,8.45,3.04,3.79,17.43,56,37
Cincinnati Museum Center,B38321,Zosterops,nigrorum,innominatus,LUZON,Z nigrorum innominatus,nigrorum,9.82,7.22,3.17,3,15.44,53,34
Cincinnati Museum Center,B36816,Zosterops,nigrorum,nigrorum,PANAY,Z nigrorum nigrorum,nigrorum,9.95,6.76,2.76,2.76,16.52,54,37
Cincinnati Museum Center,B38322,Zosterops,nigrorum,innominatus,LUZON,Z nigrorum innominatus,nigrorum,9.29,6.63,2.87,2.95,15.8,50,35
Cincinnati Museum Center,B38226,Zosterops,nigrorum,innominatus,LUZON,Z nigrorum innominatus,nigrorum,8.96,6.67,2.57,2.8,15.89,51,34
Cincinnati Museum Center,B38227,Zosterops,nigrorum,innominatus,LUZON,Z nigrorum innominatus,nigrorum,8.77,6.83,2.74,2.92,16.47,49.5,32
Cincinnati Museum Center,B38228,Zosterops,nigrorum,innominatus,LUZON,Z nigrorum innominatus,nigrorum,8.71,6.42,2.71,2.54,16.42,49,34
National Museum,535697,Zosterops,erythropleurus,monotypic,THAILAND,Z erythropleurus,erythropleurus,10.16,7.11,2.66,2.64,16.67,60.5,29
National Museum,535698,Zosterops,erythropleurus,monotypic,THAILAND,Z erythropleurus,erythropleurus,9.64,7.3,2.73,3.19,15.55,60,35
National Museum,535699,Zosterops,erythropleurus,monotypic,THAILAND,Z erythropleurus,erythropleurus,9.11,6.67,2.9,2.37,16.35,59.5,38
National Museum,535696,Zosterops,erythropleurus,monotypic,THAILAND,Z erythropleurus,erythropleurus,9.39,6.58,2.92,3.23,15.59,61,39
National Museum,335147,Zosterops,erythropleurus,monotypic,SICHUAN,Z erythropleurus,erythropleurus,9.53,7.22,2.8,2.93,15.08,62.5,39
National Museum,91558,Zosterops,japonicus,japonicus,HONSHU,Z japonicus japonicus,japonicus CONTINENTAL,10.5,8.07,3.3,3.28,16.68,60,37
National Museum,606567,Zosterops,meyeni,batanis,LANYU,Z meyeni batanis,meyeni,10.6,7.33,3.69,3.64,20.79,56,38
National Museum,606561,Zosterops,meyeni,batanis,LANYU,Z meyeni batanis,meyeni,10.66,7.67,3.21,3.48,18.08,59,39
National Museum,606570,Zosterops,meyeni,batanis,GREENISLAND,Z meyeni batanis,meyeni,10.85,8.07,3.52,3.34,19.65,58,41
National Museum,582854,Zosterops,meyeni,batanis,BATAN,Z meyeni batanis,meyeni,11.67,8.41,3.68,3.68,18.17,57.5,39
National Museum,582853,Zosterops,meyeni,batanis,BATAN,Z meyeni batanis,meyeni,10.41,7.19,3.16,3.53,17.68,55.5,41
National Museum,582852,Zosterops,meyeni,batanis,BATAN,Z meyeni batanis,meyeni,11.09,8,3.51,3.68,18.88,55,34
National Museum,582851,Zosterops,meyeni,batanis,BATAN,Z meyeni batanis,meyeni,10.15,6.95,3.1,3.6,16.9,55,40
National Museum,627873,Zosterops,japonicus,daitoensis,KITADAITOJIMA,Z japonicus daitoensis,japonicus CONTINENTAL,11.04,7.98,3.15,3.49,17.47,58.5,44
National Museum,383201,Zosterops,japonicus,alani,IWOTO,Z japonicus alani,japonicus OCEANIC,12.36,7.88,3.42,3.33,20.56,61,46
National Museum,383202,Zosterops,japonicus,alani,IWOTO,Z japonicus alani,japonicus OCEANIC,11.12,7.63,3.33,3.33,19.94,61.5,44
National Museum,111658,Zosterops,japonicus,stejnegeri,OSHIMA,Z japonicus stejnegeri,japonicus OCEANIC,12.39,9.1,3.69,2.98,19.34,62.5,45
National Museum,96110,Zosterops,japonicus,japonicus,HOKKAIDO,Z japonicus japonicus,japonicus CONTINENTAL,10.98,7.53,2.82,2.66,16.68,57,39
National Museum,405525,Zosterops,japonicus,loochooensis,OKINAWA,Z japonicus loochooensis,japonicus CONTINENTAL,11.2,7.61,2.95,3.25,18.17,58.5,40
National Museum,405522,Zosterops,japonicus,loochooensis,OKINAWA,Z japonicus loochooensis,japonicus CONTINENTAL,10.08,7.18,3.08,3.02,17.79,59.5,37
National Museum,405521,Zosterops,japonicus,loochooensis,OKINAWA,Z japonicus loochooensis,japonicus CONTINENTAL,9.72,7.05,3.04,3.03,17.65,56,39
National Museum,405520,Zosterops,japonicus,loochooensis,OKINAWA,Z japonicus loochooensis,japonicus CONTINENTAL,9.55,7.17,3.07,3.43,16.46,60.5,41
National Museum,86143,Zosterops,simplex,simplex,HONGKONG,Z simplex simplex,simplex,7.72,5.07,2.89,3.37,16.13,55,37
National Museum,86144,Zosterops,simplex,simplex,HONGKONG,Z simplex simplex,simplex,9.17,6.97,2.86,2.76,15.88,55.5,36
National Museum,86145,Zosterops,simplex,simplex,HONGKONG,Z simplex simplex,simplex,9.06,7.32,2.69,3.14,16.1,54.5,37
National Museum,578008,Zosterops,everetti,boholensis,LEYTE,Z everetti boholensis,everetti,10.25,7.84,3.65,3.29,15.62,54.5,35
National Museum,578004,Zosterops,everetti,boholensis,LEYTE,Z everetti boholensis,everetti,10.1,7.17,3.6,3.56,15.7,53.5,41
National Museum,578001,Zosterops,everetti,boholensis,LEYTE,Z everetti boholensis,everetti,10.63,7.26,3.42,3.3,15.59,61,38
National Museum,211094,Zosterops,everetti,boholensis,BOHOL,Z everetti boholensis,everetti,10.02,6.89,3.22,3.21,16.3,55,41
National Museum,315717,Zosterops,everetti,mandibularis,SULU,Z everetti mandibularis,everetti,9.86,7.15,3.08,3.55,15.5,53,40
National Museum,485424,Zosterops,everetti,tahanensis,BORNEO,Z everetti tahanensis,everetti,8.26,5.79,2.48,3.22,13.82,52.5,31
National Museum,581661,Zosterops,everetti,basilanicus,MINDANAO,Z everetti basilanicus,everetti,8.86,6.93,3.29,3.3,17.31,62,40
National Museum,581677,Zosterops,everetti,basilanicus,MINDANAO,Z everetti basilanicus,everetti,9.9,6.57,3.22,2.95,16.11,54.5,42
National Museum,192697,Zosterops,nigrorum,richmondi,CAGAYANCILLO,Z nigrorum richmondi,nigrorum,11.03,7.7,3.26,3.4,16.36,58.5,46
National Museum,607560,Zosterops,nigrorum,aureiloris,LUZON,Z nigrorum aureiloris,nigrorum,10,6.73,2.93,2.94,14.49,52,35
National Museum,192696,Zosterops,nigrorum,richmondi,CAGAYANCILLO,Z nigrorum richmondi,nigrorum,11.16,8.03,3.54,3.64,19.05,58.5,43
National Museum,582068,Zosterops,montanus,pectoralis,NEGROS,Z montanus pectoralis,montanus SOUTH,10.35,7.2,3.18,3.52,19,53,40
National Museum,582067,Zosterops,montanus,pectoralis,NEGROS,Z montanus pectoralis,montanus SOUTH,10.41,7.46,2.85,3.28,17.26,56.5,38
National Museum,192701,Zosterops,nigrorum,nigrorum,MASBATE,Z nigrorum nigrorum,nigrorum,9.74,7.6,3.12,3.82,15.64,55,42
National Museum,315706,Zosterops,nigrorum,nigrorum,PANAY,Z nigrorum nigrorum,nigrorum,10.06,7.27,3.26,3.39,13.84,52,38
National Museum,192202,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,10.01,7.39,2.97,3.23,17.4,59,41
National Museum,192203,Zosterops,montanus,vulcani,MINDANAO,Z montanus vulcani,montanus SOUTH,11.08,7.99,3.33,3.57,16.82,62,38
National Museum,202406,Zosterops,montanus,halconensis,MINDORO,Z montanus halconensis,montanus NORTH,10.16,7.74,2.88,3.48,16.11,55,39
American Museum of Natural History,699708,Zosterops,erythropleurus,monotypic,YUNNAN,Z erythropleurus,erythropleurus,9.3,6.8,2.7,2.8,16.5,61.5,41
American Museum of Natural History,699707,Zosterops,erythropleurus,monotypic,YUNNAN,Z erythropleurus,erythropleurus,10,6.9,2.6,3,14.6,59,37
American Museum of Natural History,699704,Zosterops,erythropleurus,monotypic,YUNNAN,Z erythropleurus,erythropleurus,10.2,7.6,2.8,2.7,15.2,62,39
American Museum of Natural History,699705,Zosterops,erythropleurus,monotypic,YUNNAN,Z erythropleurus,erythropleurus,9.9,7.2,2.8,3,15.5,59,38
American Museum of Natural History,699706,Zosterops,erythropleurus,monotypic,YUNNAN,Z erythropleurus,erythropleurus,10,6.9,3.1,2.9,15.5,60,38
American Museum of Natural History,699709,Zosterops,erythropleurus,monotypic,YUNNAN,Z erythropleurus,erythropleurus,10,6.5,2.8,2.8,15.6,60.5,38
American Museum of Natural History,699714,Zosterops,erythropleurus,monotypic,BEIJING,Z erythropleurus,erythropleurus,9.4,7,3.1,2.8,16.7,59.5,45
American Museum of Natural History,699710,Zosterops,erythropleurus,monotypic,SHANGHAI,Z erythropleurus,erythropleurus,10.1,6.5,3.3,2.8,14.9,61.5,44
American Museum of Natural History,699712,Zosterops,erythropleurus,monotypic,BEIJING,Z erythropleurus,erythropleurus,9.7,6.1,2.9,2.8,16.4,57.5,41
American Museum of Natural History,418687,Zosterops,erythropleurus,monotypic,SHANDONG,Z erythropleurus,erythropleurus,9.8,6.7,2.9,2.8,15.6,63.5,41
American Museum of Natural History,418686,Zosterops,erythropleurus,monotypic,SHANDONG,Z erythropleurus,erythropleurus,9.1,6.3,2.5,2.7,15.9,51,42
American Museum of Natural History,699713,Zosterops,erythropleurus,monotypic,BEIJING,Z erythropleurus,erythropleurus,9.7,6.3,2.9,2.9,18.9,54,37
American Museum of Natural History,699716,Zosterops,erythropleurus,monotypic,BEIJING,Z erythropleurus,erythropleurus,10.3,6.4,2.8,2.6,15,61.2,42
American Museum of Natural History,699711,Zosterops,erythropleurus,monotypic,BEIJING,Z erythropleurus,erythropleurus,9.1,6.6,2.6,2.6,16.8,59.5,40
American Museum of Natural History,418685,Zosterops,erythropleurus,monotypic,SHANDONG,Z erythropleurus,erythropleurus,9.6,5.7,2.7,3.1,16.2,62,39
American Museum of Natural History,418688,Zosterops,erythropleurus,monotypic,SHANDONG,Z erythropleurus,erythropleurus,8.1,5.8,2.5,2.8,14.8,57.5,41
